n_estimators,min_samples_split,min_samples_leaf,max_features,cindex_train,cindex_test
50,20,2,,0.8571455029603933,0.7116415702922403
50,10,2,,0.8809960113981963,0.7114879002645504
100,10,2,,0.8832594763465096,0.711272627872267
100,20,2,,0.8594833669424026,0.7111663207798384
50,5,2,,0.898407342140977,0.7103052134931066
100,5,2,,0.9024781270996661,0.7101601914511328
200,20,2,,0.8594081326601264,0.7101277337040114
200,10,2,,0.8833335661769802,0.7096973655046024
100,20,5,,0.8517139476245842,0.7093000457758046
200,20,5,,0.8519220179725498,0.7091547988119303
200,5,2,,0.9028024634982404,0.7090944677484725
100,10,5,,0.8813837509743268,0.7087598474411869
100,5,5,,0.8813837509743268,0.7087598474411869
200,5,5,,0.8817461451953263,0.7086587477801598
200,10,5,,0.8817461451953263,0.7086587477801598
200,5,10,,0.8395558669443093,0.7079835539775345
200,20,10,,0.8395558669443093,0.7079835539775345
200,10,10,,0.8395558669443093,0.7079835539775345
50,10,10,,0.8364994533950233,0.7069059450265643
50,20,10,,0.8364994533950233,0.7069059450265643
50,5,10,,0.8364994533950233,0.7069059450265643
50,20,5,,0.850383732299099,0.7065572345050659
100,5,10,,0.8390921740776663,0.7058362714826746
100,10,10,,0.8390921740776663,0.7058362714826746
100,20,10,,0.8390921740776663,0.7058362714826746
50,5,5,,0.8791388330973668,0.7057789632693351
50,10,5,,0.8791388330973668,0.7057789632693351
200,10,2,sqrt,0.876770880638953,0.7036767161343054
200,5,2,sqrt,0.9039781169821336,0.7020782664052961
200,10,5,sqrt,0.8609230443815051,0.7016215598399401
200,5,5,sqrt,0.8609230443815051,0.7016215598399401
200,20,5,sqrt,0.8328537717515243,0.7014321124836739
50,10,2,log2,0.8679988101238939,0.7008922941714975
100,20,5,sqrt,0.8309196453703478,0.7007785169107478
100,5,5,sqrt,0.8590827289583218,0.7007217817326966
100,10,5,sqrt,0.8590827289583218,0.7007217817326966
200,20,2,sqrt,0.8455438134832475,0.7006728251576327
200,5,2,log2,0.9011469628189398,0.7005036757347847
200,10,2,log2,0.8701130067421063,0.7002843972270807
100,10,2,sqrt,0.8768872409869267,0.6997341656802134
50,5,2,log2,0.8947482196778878,0.6995262504284584
100,20,2,sqrt,0.8449431136150461,0.6994683876054797
50,10,2,sqrt,0.8731669814666762,0.6992420176545441
200,10,5,log2,0.8509826214765975,0.6991583205060319
200,5,5,log2,0.8509826214765975,0.6991583205060319
200,20,2,log2,0.8377756376706096,0.6987768484136081
200,5,10,log2,0.8040664222340067,0.6986861939071698
200,20,10,log2,0.8040664222340067,0.6986861939071698
200,10,10,log2,0.8040664222340067,0.6986861939071698
100,5,2,sqrt,0.9031808603548009,0.698641414164528
200,20,10,sqrt,0.8140594918728424,0.698592342179336
200,5,10,sqrt,0.8140594918728424,0.698592342179336
200,10,10,sqrt,0.8140594918728424,0.698592342179336
100,10,10,log2,0.8032396023815327,0.6985885997700821
100,5,10,log2,0.8032396023815327,0.6985885997700821
100,20,10,log2,0.8032396023815327,0.6985885997700821
100,10,2,log2,0.8706253584523961,0.6985213042829574
50,20,2,sqrt,0.843004832013138,0.6983717419085566
50,20,5,sqrt,0.8285803840727366,0.6982077410359159
50,5,2,sqrt,0.8995750000808537,0.6979676144196374
100,20,10,sqrt,0.8135294821218955,0.6979293583343116
100,5,10,sqrt,0.8135294821218955,0.6979293583343116
100,10,10,sqrt,0.8135294821218955,0.6979293583343116
100,5,5,log2,0.8507389889138216,0.6978879884580865
100,10,5,log2,0.8507389889138216,0.6978879884580865
50,20,10,sqrt,0.8098670835815277,0.6978272902450267
50,10,10,sqrt,0.8098670835815277,0.6978272902450267
50,5,10,sqrt,0.8098670835815277,0.6978272902450267
50,20,10,log2,0.8027473443445619,0.6976585784006616
50,10,10,log2,0.8027473443445619,0.6976585784006616
50,5,10,log2,0.8027473443445619,0.6976585784006616
200,20,5,log2,0.8237235660010762,0.6973008268765072
100,20,5,log2,0.8233297163292818,0.6971229403874661
100,5,2,log2,0.8995565856229591,0.6970817857195175
100,20,2,log2,0.8356887393629783,0.6967274835008505
50,10,5,sqrt,0.8562439071839693,0.6964399566332881
50,5,5,sqrt,0.8562439071839693,0.6964399566332881
50,20,5,log2,0.8197678139598598,0.6958891314162432
50,20,2,log2,0.8324580960374409,0.6958335051217767
50,10,5,log2,0.8484119182150061,0.6945991534438246
50,5,5,log2,0.8484119182150061,0.6945991534438246
