n_estimators,min_samples_split,min_samples_leaf,max_features,cindex_train,cindex_test
50,50,50,,0.7480527807116272,0.7025174500017018
50,60,50,,0.7480527807116272,0.7025174500017018
50,40,50,,0.7480527807116272,0.7025174500017018
100,60,50,,0.7492898295782979,0.7023931163210387
100,50,50,,0.7492898295782979,0.7023931163210387
100,40,50,,0.7492898295782979,0.7023931163210387
100,60,60,,0.7428320908711279,0.7020757919323383
100,40,60,,0.7428320908711279,0.7020757919323383
100,50,60,,0.7428320908711279,0.7020757919323383
100,60,40,,0.7576664229971184,0.701636070173135
100,50,40,,0.7576664229971184,0.701636070173135
100,40,40,,0.7576664229971184,0.701636070173135
50,60,60,,0.7418907786291737,0.7008104629058547
50,50,60,,0.7418907786291737,0.7008104629058547
50,40,60,,0.7418907786291737,0.7008104629058547
50,60,40,,0.7565658178083572,0.7002722336338895
50,50,40,,0.7565658178083572,0.7002722336338895
50,40,40,,0.7565658178083572,0.7002722336338895
